Country,Strategy,Population Covered (%),Cumulative Cost ($USD Billions)
PER,LOS,98.81025462323787,0.8125499999999999
PER,LOS,98.88427382326618,0.8186999999999999
PER,LOS,98.95247128846081,0.8245499999999999
PER,LOS,98.98618266492439,0.8275499999999999
PER,LOS,99.02230172559183,0.8308499999999999
PER,LOS,99.11186833749824,0.8398499999999999
PER,LOS,99.1206066361625,0.8407499999999999
PER,LOS,99.13795791238894,0.8425499999999999
PER,LOS,99.1916561058321,0.8483999999999999
PER,LOS,99.2203014716837,0.8515499999999999
PER,LOS,99.42269884917634,0.8740499999999999
PER,LOS,99.50188279765463,0.8830499999999999
PER,LOS,99.55626076313641,0.8893499999999999
PER,LOS,99.59534195894429,0.8942999999999999
PER,LOS,99.60936273194231,0.8960999999999999
PER,LOS,99.64761984656369,0.9010499999999999
